url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110620524:mpeg21:a0148,/9200359/BibliographicResource_3000115943327,2021-01-06T15:30:27.945Z,1896-02-11,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011184507:mpeg21:a0003,/9200359/BibliographicResource_3000115998743,2021-01-06T16:03:10.974Z,1935-09-05,Henry Hospers,Verenigde Staten,"Orange City, Iowa","nl, en"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010326264:mpeg21:a0023,/9200359/BibliographicResource_3000100717061,2021-01-07T07:43:09.094Z,1940-07-31,Gebr. Belinfante,Landelijk,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010514441:mpeg21:a0004,/9200359/BibliographicResource_3000115640508,2021-01-05T22:32:25.265Z,1928-11-03,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010127423:mpeg21:a0082,/9200359/BibliographicResource_3000112780034,2021-01-07T06:00:48.475Z,1896-10-25,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010986347:mpeg21:a0118,/9200359/BibliographicResource_3000115554152,2021-01-05T19:33:39.755Z,1940-03-09,N.V. de Courant Het Nieuws van den Dag,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010941277:mpeg21:a0123,/9200359/BibliographicResource_3000115504111,2021-01-05T17:19:51.645Z,1938-06-28,Arbeiderspers,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011070025:mpeg21:a0001,/9200359/BibliographicResource_3000115782152,2021-01-06T05:36:15.125Z,1890-02-07,H. de Hoogh en Co.,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010658253:mpeg21:a0134,/9200359/BibliographicResource_3000112787243,2021-01-07T06:07:03.759Z,1928-01-06,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010162034:mpeg21:a0068,/9200359/BibliographicResource_3000112964919,2021-01-07T03:54:03.000Z,1898-07-21,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110621551:mpeg21:a0061,/9200359/BibliographicResource_3000115944448,2021-01-06T15:40:46.797Z,1915-11-16,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],"nl, en"
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010350152:mpeg21:a0001,/9200359/BibliographicResource_3000100722019,2021-01-07T06:17:38.436Z,1933-05-15,K. Weyerhorst,Regionaal/lokaal,Heerlen,nl
