anonymised_participant_id,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
72,1228.715,24,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Male,Yes
70,1120.931,27,Spain,Spain,Full-Time,English,"English, Spanish, Dutch",Spain,Male,No
81,1403.686,33,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French, German",Belgium,Male,No
69,1420.866,21,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,Yes
82,971.203,25,Netherlands,Belgium,Full-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
80,529.041,28,Belgium,Belgium,Unemployed (and job seeking),Dutch,"English, Dutch",Belgium,Male,Yes
78,883.471,36,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
79,1408.023,30,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Female,Yes
77,997.475,29,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Female,DATA EXPIRED
92,1150.816,26,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, Swedish",Netherlands,Female,No
90,389.9,26,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
88,672.344,37,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French",Belgium,Female,DATA EXPIRED
87,1307.643,22,Netherlands,United Kingdom,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Female,Yes
85,576.997,20,Belgium,Belgium,Other,Dutch,"Dutch, English, French",Belgium,Male,Yes
84,745.367,29,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
83,1937.571,27,South Africa,Netherlands,DATA EXPIRED,English,"Afrikaans, Dutch, English, Hindi",South Africa,Male,DATA EXPIRED
99,1756.438,25,Greece,Greece,Unemployed (and job seeking),Greek,"English, French, German, Greek, Italian, Portuguese, Spanish, Swedish, Finnish, Dutch",Greece,Female,Yes
98,2555.135,44,Serbia,Netherlands,Other,Serbian,"Serbian, Dutch, English, Croatian",Netherlands,Female,No
94,1451.136,35,South Africa,South Africa,Full-Time,English,"Afrikaans, English, Dutch",South Africa,Female,Yes
97,776.353,19,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,Yes
96,5137.176,26,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
95,716.107,20,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,Male,Yes
93,555.633,49,Netherlands,Spain,DATA EXPIRED,Dutch,"Dutch, English, Spanish",Netherlands,Male,DATA EXPIRED
107,1415.171,26,Netherlands,Netherlands,DATA EXPIRED,English,"English, Dutch",Netherlands,Male,DATA EXPIRED
105,538.224,33,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
104,1499.177,23,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
102,858.451,27,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Male,No
101,1481.34,28,Switzerland,Belgium,Unemployed (and job seeking),Dutch,"English, Dutch",Belgium,Male,Yes
100,745.619,20,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, Tamil",Netherlands,Male,Yes
114,1105.257,41,South Africa,Spain,Full-Time,English,"Afrikaans, Dutch",Netherlands,Female,No
122,4540.961,39,Netherlands,Spain,Unemployed (and job seeking),Dutch,"Dutch, English, German, Spanish",Germany,Male,No
113,1062.227,30,Belgium,Belgium,Full-Time,Dutch,"English, Dutch, French",Belgium,Male,No
111,1525.591,49,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
112,2288.812,41,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French",Belgium,Male,DATA EXPIRED
110,439.946,37,Belgium,United Kingdom,Other,English,"Dutch, English",Belgium,Female,No
109,727.283,33,Germany,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,Male,No
108,521.013,25,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
123,1680.271,37,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"English, Dutch",Netherlands,Male,No
120,2177.157,20,Pakistan,Netherlands,Unemployed (and job seeking),Urdu,"Dutch, English",Pakistan,Male,Yes
119,2824.7,38,Nigeria,Germany,Full-Time,DATA EXPIRED,"English, German, Dutch",Germany,Male,Yes
118,775.525,23,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
126,1986.104,25,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Female,Yes
117,500.284,21,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,Yes
133,1715.812,21,Netherlands,Netherlands,Full-Time,English,"Dutch, English",Netherlands,Male,No
116,772.193,23,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, German, English",Netherlands,Female,Yes
132,2024.918,40,Belgium,Belgium,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English, French, German",Belgium,Male,No
130,2347.959,59,Belgium,Belgium,Full-Time,French,"Dutch, English, French",Belgium,Male,No
129,812.294,20,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
139,1250.55,40,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Male,No
127,458.79,19,Haiti,Belgium,Other,Dutch,Dutch,Belgium,Male,Yes
140,1498.672,24,Netherlands,Netherlands,Unemployed (and job seeking),Turkish,"Dutch, English, Turkish",Turkey,Male,No
124,1578.948,23,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
138,1188.542,30,Macedonia,Netherlands,Full-Time,Macedonian,"English, Dutch, Macedonian",Netherlands,Female,No
135,1502.823,35,Netherlands,Netherlands,DATA EXPIRED,Dutch,Dutch,Netherlands,Male,No
137,616.049,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
134,3315.213,39,India,Netherlands,Full-Time,DATA EXPIRED,"Dutch, English, Hindi",India,Male,No
147,2939.366,60,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, French, German",Netherlands,Female,DATA EXPIRED
148,1378.375,20,Belarus,Poland,Unemployed (and job seeking),Russian,"English, German, Polish, Russian, Dutch",Belarus,Male,Yes
144,836.575,36,Poland,Poland,Full-Time,Polish,"English, Polish, Dutch, Spanish",Poland,Male,No
146,398.745,25,Belgium,Belgium,Full-Time,Dutch,"English, Dutch",Belgium,Female,No
